StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:51:51.277342	1475657511.277342;00:00:00;00:00:00;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:51:51.277653	1475657511.277653;2016-10-05	11:51:52.278724	1475657512.278724;00:00:01;00:00:01;100;98.9011;98.7039;0;0;99;99;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:51:52.278775	1475657512.278775;2016-10-05	11:51:53.279995	1475657513.279995;00:00:01;00:00:02;100;100.899;99.8004;0;0;101;200;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:51:53.280047	1475657513.280047;2016-10-05	11:51:54.280177	1475657514.280177;00:00:01;00:00:03;100;100;99.8668;0;0;100;300;300;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:51:54.280225	1475657514.280225;2016-10-05	11:51:55.281168	1475657515.281168;00:00:01;00:00:04;100;100;99.8752;0;0;100;400;400;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:51:55.281223	1475657515.281223;2016-10-05	11:51:56.283218	1475657516.283218;00:00:01;00:00:05;100;99.9001;99.8602;0;0;100;500;500;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:51:56.283283	1475657516.283283;2016-10-05	11:51:57.284879	1475657517.284879;00:00:01;00:00:06;100;99.9001;99.8502;0;0;100;600;600;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:51:57.284940	1475657517.284940;2016-10-05	11:51:58.286026	1475657518.286026;00:00:01;00:00:07;100;99.9001;99.8573;0;0;100;700;700;700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:51:58.286076	1475657518.286076;2016-10-05	11:51:59.287202	1475657519.287202;00:00:01;00:00:08;100;99.9001;99.8627;0;0;100;800;800;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:51:59.287271	1475657519.287271;2016-10-05	11:52:00.289821	1475657520.289821;00:00:01;00:00:09;100;99.8004;99.8447;0;0;100;900;900;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:00.289875	1475657520.289875;2016-10-05	11:52:01.291681	1475657521.291681;00:00:01;00:00:10;100;100.899;99.9401;0;0;101;1001;1001;1001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:01.291746	1475657521.291746;2016-10-05	11:52:02.293105	1475657522.293105;00:00:01;00:00:11;100;99.9001;99.9365;0;0;100;1101;1101;1101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:02.293156	1475657522.293156;2016-10-05	11:52:03.294085	1475657523.294085;00:00:01;00:00:12;100;100;99.9334;0;0;100;1201;1201;1201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:03.294138	1475657523.294138;2016-10-05	11:52:04.296528	1475657524.296528;00:00:01;00:00:13;100;99.8004;99.9155;0;0;100;1301;1301;1301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:04.296581	1475657524.296581;2016-10-05	11:52:05.298891	1475657525.298891;00:00:01;00:00:14;100;99.8004;99.9073;0;0;100;1401;1401;1401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:05.298945	1475657525.298945;2016-10-05	11:52:06.299290	1475657526.299290;00:00:01;00:00:15;100;101;99.98;0;0;101;1502;1502;1502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:06.299393	1475657526.299393;2016-10-05	11:52:07.301348	1475657527.301348;00:00:01;00:00:16;100;99.9001;99.9688;0;0;100;1602;1602;1602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:07.301407	1475657527.301407;2016-10-05	11:52:08.303695	1475657528.303695;00:00:01;00:00:17;100;99.8004;99.953;0;0;100;1702;1702;1702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:08.303749	1475657528.303749;2016-10-05	11:52:09.304793	1475657529.304793;00:00:01;00:00:18;100;99.9001;99.9501;0;0;100;1802;1802;1802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:09.304845	1475657529.304845;2016-10-05	11:52:10.306375	1475657530.306375;00:00:01;00:00:19;100;99.9001;99.9474;0;0;100;1902;1902;1902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:10.306425	1475657530.306425;2016-10-05	11:52:11.307891	1475657531.307891;00:00:01;00:00:20;100;99.9001;99.9401;0;0;100;2002;2002;2002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:11.307947	1475657531.307947;2016-10-05	11:52:12.309981	1475657532.309981;00:00:01;00:00:21;100;99.8004;99.9334;0;0;100;2102;2102;2102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:12.310033	1475657532.310033;2016-10-05	11:52:13.311923	1475657533.311923;00:00:01;00:00:22;100;100.899;99.9728;0;0;101;2203;2203;2203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:13.311981	1475657533.311981;2016-10-05	11:52:14.313752	1475657534.313752;00:00:01;00:00:23;100;99.9001;99.9653;0;0;100;2303;2303;2303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:14.313804	1475657534.313804;2016-10-05	11:52:15.314392	1475657535.314392;00:00:01;00:00:24;100;100;99.9667;0;0;100;2403;2403;2403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:15.314446	1475657535.314446;2016-10-05	11:52:16.316065	1475657536.316065;00:00:01;00:00:25;100;99.9001;99.9601;0;0;100;2503;2503;2503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:51.275517	1475657511.275517;2016-10-05	11:52:16.316118	1475657536.316118;2016-10-05	11:52:17.318587	1475657537.318587;00:00:01;00:00:26;100;99.8004;99.9501;0;0;100;2603;2603;2603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
